Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location
3 Bedroom Radius Apartment,RM 230 400,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 20, 17:10",Batu Caves
"3 Bedroom Apartment in Taman Sentosa, Klang",RM 54 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 20, 15:42",Klang
3 Bedroom Flora Damansara Apartment,RM 196 830,Apartment / Condominium,850 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 18:50",Damansara Perdana
3 Bedroom Tropicana Gardens Serviced Apartment,RM 1 300 000,Apartment / Condominium,1273 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 19, 18:50",Kota Damansara
3 Bedroom Putri Laksamana Apartment,RM 110 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 17:25",Gombak
Desaminium Flora Apartment,RM 180 000,Apartment / Condominium,850 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 14:26",Seri Kembangan
Sungai Buloh D’Sara Sentral Kondominium Near MRT [RizalProperties],RM 325 200,Apartment / Condominium,782 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 19, 13:30",Sungai Buloh
Ampang Ukay Perdana Apartment Sri Hijauan [RizalProperties],RM 208 000,Apartment / Condominium,800 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 13:25",Ampang
Ampang Ukay Perdana Apartment Sri Hijauan [RizalProperties],RM 200 000,Apartment / Condominium,856 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 12:50",Kajang
Residensi Hijauan Condominium (The Greens),RM 485 000,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 12:45",Shah Alam
"BANK LELONG No.B-3-2, Block B, Suria Apartment, Tmn Kinrara @ Puchong",RM 162 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 18, 12:02",Puchong
Saville @ D'Lake,RM 258 300,Apartment / Condominium,1130 sq.ft.,4 Bedrooms,2 Bathrooms,"Jun 16, 23:24",Puchong
DK Impian,RM 255 000,Apartment / Condominium,635 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 16, 16:35",Shah Alam
Three Room Apartment,RM 123 930,Apartment / Condominium,738 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 16, 11:09",Puchong
"BANK LELONG No.A-11-11, Block A, Tiara Imperio, Jalan Ilmiah 1, BANGI",RM 160 000,Apartment / Condominium,452 sq.ft.,1 Bedroom,1 Bathroom,"Jun 15, 21:30",Kajang
D'Sara Sentral,RM 325 200,Apartment / Condominium,782 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 15, 21:25",Sungai Buloh
"Alam Sanjung, Jalan Budiman 22/3",RM 259 200,Apartment / Condominium,861 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 15, 20:45",Shah Alam
Dataran Prestij (SqWhere),RM 522 884,Apartment / Condominium,1442 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 15, 20:25",Sungai Buloh
Skylake Residence,RM 231 200,Apartment / Condominium,883 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 15, 17:50",Puchong
3 Bedroom Vista Lavender Apartment - 8 min to Awan Besar LRT Station,RM 176 000,Apartment / Condominium,852 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 15, 16:50",Puchong
3 Bedroom Megaria Ros Apartment,RM 136 000,Apartment / Condominium,750 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 15, 16:45",Seri Kembangan
"3 Bedroom Flat, in Gugusan Tanjung, Petaling Jaya",RM 120 000,Apartment / Condominium,614 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 15, 16:25",Petaling Jaya
Batu Caves-Residensi Amara,RM 198 000,Apartment / Condominium,861 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 15, 14:09",Batu Caves
Bank Lelong 27/06/2023- Mahkota Garden@Bandar Mahkota Cheras,RM 320 000,Apartment / Condominium,1378 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 14, 23:07",Bandar Mahkota Cheras
"BANK LELONG No.A-1-10, Mahkota Garden @ Bandar Mahkota Cheras, CHERAS",RM 320 000,Apartment / Condominium,1378 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 20:45",Bandar Mahkota Cheras
Freehold 3 Bedroom Lakefront Residence Condominium with 2 Car parks,RM 413 343,Apartment / Condominium,1568 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 17:45",Cyberjaya
Sri Bayu Apartment,RM 192 000,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 17:30",Klang
Low Cost Flat,RM 69 255,Apartment / Condominium,760 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 14, 15:30",Beranang
Low Cost Flat,RM 69 255,Apartment / Condominium,760 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 14, 15:30",Beranang
Kajang-Bukit Palma 2 (Palm Hill Residence 2),RM 307 800,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 12:50",Kajang
Bangi-Savanna Executive Suites,RM 279 000,Apartment / Condominium,956 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 12:35",Bangi
Kota Damansara-Gugusan Semarak,RM 116 700,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 11:48",Kota Damansara
Emporis Kota Damansara below market price,RM 467 500,Apartment / Condominium,807 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 21:05",Kota Damansara
Oasis 1 kajang below market price,RM 324 000,Apartment / Condominium,1250 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 19:25",Kajang
"BANK LELONG No.B-35-10, Astetica Residences, The Mines Resort City",RM 379 000,Apartment / Condominium,864 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 13, 19:10",Seri Kembangan
Service Apartment in Isola,RM 1 350 000,Apartment / Condominium,2034 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 18:50",Subang Jaya
Saville D'Lake Puchong Service Apartment [RizalProperties],RM 258 000,Apartment / Condominium,1130 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 18:05",Puchong
Pangsapuri Seri Angsana,RM 117 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:30",Seri Kembangan
Almyra Residence Bandar Puteri Bangi [RizalProperties],RM 240 000,Apartment / Condominium,947 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:28",Bangi
Savanna Executive Suites Service Apartment Bangi [RizalProperties],RM 279 000,Apartment / Condominium,956 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:22",Bangi
"Residensi Permai, Bandar Teknologi Kajang",RM 240 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:10",Kajang
Almyra Residensi BANGI,RM 240 600,Apartment / Condominium,240600 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:03",Bangi
Residensi Rimbun (Canopy Hills),RM 182 300,Apartment / Condominium,452 sq.ft.,1 Bedroom,1 Bathroom,"Jun 12, 20:30",Kajang
"Hillpark Residence Apartment, Semenyih",RM 295 700,Apartment / Condominium,1023 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 12, 20:15",Semenyih
"Freehold Apartment in Lakefront Homes, Cyberjaya",RM 324 000,Apartment / Condominium,1010 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 12, 20:09",Sepang
"BANK LELONG : No.2-03A-09, Perdana Emerald Condo @ Damansara Perdana",RM 522 000,Apartment / Condominium,1436 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 11, 14:46",Damansara Perdana
"Bank Lelong BUMI LOT No.09-18, Simfoni 1, Anggerik Perdana, SEMENYIH",RM 238 000,Apartment / Condominium,1050 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 11, 13:10",Semenyih
"BANK LELONG B-28-12, Zenopy Residences, Lestari Perdana, Putra Permai",RM 382 000,Apartment / Condominium,1128 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 11, 11:50",Seri Kembangan
"BANK LELONG : No.B-22-09, Level 22, Block B, KANVAS Soho @ Cyberjaya",RM 212 000,Apartment / Condominium,452 sq.ft.,1 Bedroom,1 Bathroom,"Jun 11, 10:47",Cyberjaya
"BANK LELONG : No.1-17-03A, The Domain @ NeoCyber, CYBERJAYA",RM 130 000,Apartment / Condominium,761 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 10, 16:35",Cyberjaya
"Residensi Amani, Puchong",RM 420 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 21:30",389
Kondominium Bandar Baru Klang,RM 274 500,Apartment / Condominium,1605 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 9, 21:20",Klang
Perdana Service Apartment in Shah Alam,RM 175 000,Apartment / Condominium,850 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 21:10",Shah Alam
Freehold Residensi Hijauan Condominium (The Greens),RM 414 000,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 21:06",Shah Alam
SqWhere @Sungai Buloh,RM 522 884,Apartment / Condominium,1442 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 9, 21:01",Sungai Buloh
Freehold Parkland Residence Service Apartment,RM 374 000,Apartment / Condominium,704 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 20:06",Cheras
4 Bedroom Astoria Ampang Service Apartment,RM 972 000,Apartment / Condominium,1464 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 9, 19:44",Ampang
