Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location
Freehold Menara Solstice 2 Serviced Apartment with 2 Car parks,RM 300 000,Apartment / Condominium,980 sq.ft.,2 Bedrooms,2 Bathrooms,"May 23, 20:03",Cyberjaya
Freehold 3 Bedroom Impiana Apartment 1 (Flat),RM 130 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,1 Bathroom,"May 22, 16:26",Cheras
"BANK LELONG No.A-08-12, Koi Prima, Taman Mas Langat, PUCHONG",RM 249 000,Apartment / Condominium,1098 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 15:25",Puchong
"BANK LELONG No.B-19-2A, De Centrum Residences, Unipark Suria, BANGI",RM 256 000,Apartment / Condominium,990 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 14:10",Kajang
Cheras Gagah Apartment Taman Tun Perak Near MRT [RizalProperties],RM 162 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 11:10",Cheras
Bangi Gateway Service Apartment Seksyen 15 Near UKM [RizalProperties],RM 320 000,Apartment / Condominium,980 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 11:05",Bangi
"BANK LELONG Penthouse No.C-18-2, East Lake Residence",RM 467 000,Apartment / Condominium,2056 sq.ft.,4 Bedrooms,4 Bathrooms,"May 21, 18:05",Seri Kembangan
"BANK LELONG No.B-3-7, Block B, Tropika Paradise @ USJ 17, Subang Jaya",RM 350 000,Apartment / Condominium,1163 sq.ft.,3 Bedrooms,2 Bathrooms,"May 21, 16:09",Subang Jaya
"BANK LELONG : No.B3-3-18, Apartment Taman Bukit Rawang Putra, RAWANG",RM 129 600,Apartment / Condominium,868 sq.ft.,3 Bedrooms,2 Bathrooms,"May 21, 09:50",Rawang
"BANK LELONG No.1-04, Level 1, Jalan Dua, Taman Bangi Jaya, SEMENYIH",RM 64 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"May 21, 09:45",Semenyih
"BANK LELONG No.CA2-3-10, Condo Sri Hijau, Bandar Mahkota Cheras",RM 250 000,Apartment / Condominium,856 sq.ft.,3 Bedrooms,2 Bathrooms,"May 21, 09:45",Kajang
Freehold 3 Bedroom Casa Ria Apartment,RM 171 000,Apartment / Condominium,797 sq.ft.,3 Bedrooms,2 Bathrooms,"May 19, 15:05",Rawang
"BANK LELONG : No.A-13A-01, Bangi Gateway Sevice Apartment, BANGI",RM 320 000,Apartment / Condominium,980 sq.ft.,3 Bedrooms,2 Bathrooms,"May 18, 15:43",Bangi
Shah Alam Pangsapuri Kemuning Idaman Bukit Rimau [RizalProperties],RM 200 000,Apartment / Condominium,904 sq.ft.,3 Bedrooms,2 Bathrooms,"May 18, 12:41",Kota Kemuning
I-City / Shah Alam / Selangor 《Below Market Value 30 %》,RM 352 000,Apartment / Condominium,768 sq.ft.,2 Bedrooms,2 Bathrooms,"May 18, 11:30",I-City
3 Bedroom Gugusan Seroja Apartment,RM 144 000,Apartment / Condominium,656 sq.ft.,3 Bedrooms,1 Bathroom,"May 17, 17:03",Kota Damansara
"Apartment in Taman Serdang Perdana, Seri Kembangan",RM 85 000,Apartment / Condominium,700 sq.ft.,2 Bedrooms,1 Bathroom,"May 17, 17:01",Seri Kembangan
Service Apartment in Parisien - Link bridge to Central i-City,RM 352 000,Apartment / Condominium,769 sq.ft.,2 Bedrooms,2 Bathrooms,"May 17, 16:47",Shah Alam
3 Bedroom Service Apartment in Pusat Perdagangan Icon City,RM 710 000,Apartment / Condominium,1405 sq.ft.,3 Bedrooms,2 Bathrooms,"May 17, 16:45",Petaling Jaya
Freehold 3 Bedroom Harmoni Apartment,RM 140 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"May 17, 16:28",Damansara Damai
"BANK LELONG : No.M8-4-12, Apartment Gagah, Taman Tun Perak, CHERAS",RM 162 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"May 16, 21:08",Cheras
"BANK LELONG No.D-20-2, Parisien Tower, i-SOHO @ i-City, Shah Alam",RM 352 000,Apartment / Condominium,769 sq.ft.,1 Bedroom,2 Bathrooms,"May 16, 20:06",Shah Alam
"3 Bedroom Flat - Gugusan Siantan, Kota Damansara",RM 139 500,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"May 16, 17:24",Kota Damansara
"Freehold 3 Bedroom Shop Apartment in Desa Idaman II, Klang",RM 56 700,Apartment / Condominium,879 sq.ft.,3 Bedrooms,1 Bathroom,"May 15, 16:55",Klang
"Apartment in Jalan SP 3/1, Saujana Puchong",RM 80 190,Apartment / Condominium,714 sq.ft.,3 Bedrooms,1 Bathroom,"May 15, 16:45",Puchong
oasis 2 mutiara heights kajang 1250sqft,RM 316 000,Apartment / Condominium,1250 sq.ft.,3 Bedrooms,2 Bathrooms,"May 15, 13:27",Kajang
"BANK LELONG No.B2-2-6, O2 Residence, Bandar Puchong South, Puchong",RM 291 000,Apartment / Condominium,1259 sq.ft.,1 Bedroom,1 Bathroom,"May 14, 16:13",Seri Kembangan
"BANK LELONG No.G-3-07, Level 3, Block G, Apartment Puchong Permata",RM 171 000,Apartment / Condominium,710 sq.ft.,3 Bedrooms,2 Bathrooms,"May 14, 13:03",Puchong
"BANK LELONG No.60-08-11, Tingkat 8, Block 60, Tmn Sri Murni, SELAYANG",RM 88 000,Apartment / Condominium,527 sq.ft.,2 Bedrooms,1 Bathroom,"May 13, 16:26",Selayang
"BANK LELONG No.9-16, Apartment Cempaka, Tmn Gombak Permai, Batu Caves",RM 108 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,2 Bathrooms,"May 13, 16:24",Ampang
"BANK LELONG No.F-9-7, Apatrtment Enggang, Bandar Kinrara, PUCHONG",RM 128 000,Apartment / Condominium,678 sq.ft.,3 Bedrooms,2 Bathrooms,"May 13, 16:23",Puchong
"BANK LELONG : No.F-7-11, Emporis @ Kota Damansara (Duplex unit)",RM 296 000,Apartment / Condominium,602 sq.ft.,2 Bedrooms,2 Bathrooms,"May 13, 13:26",Kota Damansara
"Bank Lelong BUMI LOT : No.T3-22-20, Lakefront Homes, CYBERJAYA",RM 322 000,Apartment / Condominium,1010 sq.ft.,3 Bedrooms,2 Bathrooms,"May 12, 16:43",Cyberjaya
Skylake Residence Service Apartment - Completed in 2021,RM 370 000,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"May 12, 15:13",Puchong
"BANK LELONG Bumi Lot : No.A-7-11, Cerrado @ SouthVille City, BANGI",RM 216 000,Apartment / Condominium,667 sq.ft.,2 Bedrooms,1 Bathroom,"May 12, 15:08",Bangi
Dataran Prestij Service Apartment (Sq Where) - Link bridge to MRT,RM 720 000,Apartment / Condominium,1765 sq.ft.,3 Bedrooms,1 Bathroom,"May 12, 15:07",Sungai Buloh
Puncak Alam Sentrovue Service Apartment Alam Jaya [RizalProperties],RM 219 000,Apartment / Condominium,842 sq.ft.,3 Bedrooms,2 Bathrooms,"May 11, 11:10",Puncak Alam
Petaling Jaya Emporis Duplex Service Apartment [RizalProperties],RM 354 294,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"May 11, 11:08",Kota Damansara
a condominium unit,RM 432 000,Apartment / Condominium,1334 sq.ft.,4 Bedrooms,3 Bathrooms,"May 10, 13:03",Sungai Buloh
"(MURAH) Astana Putra Condominium, Seksyen U20, Shah Alam",RM 432 000,Apartment / Condominium,1335 sq.ft.,3 Bedrooms,2 Bathrooms,"May 9, 18:08",Shah Alam
Condominium Sepang The Olive Sunsuria City Xiamen University,RM 530 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"May 9, 11:30",Sepang
"BANK LELONG No.A-3-17, Seri Ros Flat, Jln Ros 1, Bukit Sentosa, RAWANG",RM 50 000,Apartment / Condominium,581 sq.ft.,3 Bedrooms,2 Bathrooms,"May 6, 16:04",Rawang
Puchong KOI TROPIKA CONDOMINIUM below market value (MV: RM 430K),RM 348 300,Apartment / Condominium,1184 sq.ft.,3 Bedrooms,2 Bathrooms,"May 5, 14:28",Puchong
"BANK LELONG Rajawali Apartment, Bandar Country Homes, RAWANG",RM 54 000,Apartment / Condominium,603 sq.ft.,2 Bedrooms,2 Bathrooms,"May 4, 21:29",Rawang
"BANK LELONG : No.B-23-02, Sunway GEO Residences @ Sunway South Quay.",RM 1 170 000,Apartment / Condominium,1496 sq.ft.,4 Bedrooms,3 Bathrooms,"May 3, 22:22",Bandar Sunway
"(MURAH) Apartment Taman Langat Murni, Bukit Changgang, Banting",RM 108 000,Apartment / Condominium,755 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 16:49",Banting
"(MURAH NI) Pangsapuri Baiduri Bandar Tasik Kesuma, Beranang",RM 76 500,Apartment / Condominium,760 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 16:44",Beranang
"(KLIA AREA) Apartment Taman Langat Murni, Banting, Bukit Changgang",RM 117 450,Apartment / Condominium,900 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 16:29",Banting
"Pangsapuri Baiduri Bandar Tasik Kesuma, Beranang",RM 81 000,Apartment / Condominium,760 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 14:41",Beranang
"BANK LELONG : No.SW-02-15, Cova Square @ Kota Damansara",RM 284 000,Apartment / Condominium,818 sq.ft.,2 Bedrooms,2 Bathrooms,"May 1, 12:30",Petaling Jaya
"BANK LELONG : D-10-8,East Lake Residence, Seri Kembangan, Sungai Besi",RM 357 000,Apartment / Condominium,1314 sq.ft.,3 Bedrooms,2 Bathrooms,"May 1, 11:42",Seri Kembangan
