,Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location,States
156,"BANK LELONG No.A-08-12, Koi Prima, Taman Mas Langat, PUCHONG",RM 249 000,Apartment / Condominium,1098 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 15:25",Puchong,Selangor
157,"BANK LELONG No.B-19-2A, De Centrum Residences, Unipark Suria, BANGI",RM 256 000,Apartment / Condominium,990 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 14:10",Kajang,Selangor
158,Cheras Gagah Apartment Taman Tun Perak Near MRT [RizalProperties],RM 162 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 11:10",Cheras,Selangor
159,Bangi Gateway Service Apartment Seksyen 15 Near UKM [RizalProperties],RM 320 000,Apartment / Condominium,980 sq.ft.,3 Bedrooms,2 Bathrooms,"May 22, 11:05",Bangi,Selangor
160,"BANK LELONG Penthouse No.C-18-2, East Lake Residence",RM 467 000,Apartment / Condominium,2056 sq.ft.,4 Bedrooms,4 Bathrooms,"May 21, 18:05",Seri Kembangan,Selangor
161,"BANK LELONG No.B-3-7, Block B, Tropika Paradise @ USJ 17, Subang Jaya",RM 350 000,Apartment / Condominium,1163 sq.ft.,3 Bedrooms,2 Bathrooms,"May 21, 16:09",Subang Jaya,Selangor
162,"BANK LELONG : No.B3-3-18, Apartment Taman Bukit Rawang Putra, RAWANG",RM 129 600,Apartment / Condominium,868 sq.ft.,3 Bedrooms,2 Bathrooms,"May 21, 09:50",Rawang,Selangor
163,"BANK LELONG No.1-04, Level 1, Jalan Dua, Taman Bangi Jaya, SEMENYIH",RM 64 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"May 21, 09:45",Semenyih,Selangor
164,"BANK LELONG No.CA2-3-10, Condo Sri Hijau, Bandar Mahkota Cheras",RM 250 000,Apartment / Condominium,856 sq.ft.,3 Bedrooms,2 Bathrooms,"May 21, 09:45",Kajang,Selangor
165,Freehold 3 Bedroom Casa Ria Apartment,RM 171 000,Apartment / Condominium,797 sq.ft.,3 Bedrooms,2 Bathrooms,"May 19, 15:05",Rawang,Selangor
166,"BANK LELONG : No.A-13A-01, Bangi Gateway Sevice Apartment, BANGI",RM 320 000,Apartment / Condominium,980 sq.ft.,3 Bedrooms,2 Bathrooms,"May 18, 15:43",Bangi,Selangor
167,Shah Alam Pangsapuri Kemuning Idaman Bukit Rimau [RizalProperties],RM 200 000,Apartment / Condominium,904 sq.ft.,3 Bedrooms,2 Bathrooms,"May 18, 12:41",Kota Kemuning,Selangor
168,I-City / Shah Alam / Selangor 《Below Market Value 30 %》,RM 352 000,Apartment / Condominium,768 sq.ft.,2 Bedrooms,2 Bathrooms,"May 18, 11:30",I-City,Selangor
169,3 Bedroom Gugusan Seroja Apartment,RM 144 000,Apartment / Condominium,656 sq.ft.,3 Bedrooms,1 Bathroom,"May 17, 17:03",Kota Damansara,Selangor
170,"Apartment in Taman Serdang Perdana, Seri Kembangan",RM 85 000,Apartment / Condominium,700 sq.ft.,2 Bedrooms,1 Bathroom,"May 17, 17:01",Seri Kembangan,Selangor
