,Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location,States
59,D'Sara Sentral,RM 325 200,Apartment / Condominium,782 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 15, 21:25",Sungai Buloh,Selangor
60,"Alam Sanjung, Jalan Budiman 22/3",RM 259 200,Apartment / Condominium,861 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 15, 20:45",Shah Alam,Selangor
61,Dataran Prestij (SqWhere),RM 522 884,Apartment / Condominium,1442 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 15, 20:25",Sungai Buloh,Selangor
62,Skylake Residence,RM 231 200,Apartment / Condominium,883 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 15, 17:50",Puchong,Selangor
63,3 Bedroom Vista Lavender Apartment - 8 min to Awan Besar LRT Station,RM 176 000,Apartment / Condominium,852 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 15, 16:50",Puchong,Selangor
64,3 Bedroom Megaria Ros Apartment,RM 136 000,Apartment / Condominium,750 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 15, 16:45",Seri Kembangan,Selangor
65,"3 Bedroom Flat, in Gugusan Tanjung, Petaling Jaya",RM 120 000,Apartment / Condominium,614 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 15, 16:25",Petaling Jaya,Selangor
66,Batu Caves-Residensi Amara,RM 198 000,Apartment / Condominium,861 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 15, 14:09",Batu Caves,Selangor
67,Bank Lelong 27/06/2023- Mahkota Garden@Bandar Mahkota Cheras,RM 320 000,Apartment / Condominium,1378 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 14, 23:07",Bandar Mahkota Cheras,Selangor
68,"BANK LELONG No.A-1-10, Mahkota Garden @ Bandar Mahkota Cheras, CHERAS",RM 320 000,Apartment / Condominium,1378 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 20:45",Bandar Mahkota Cheras,Selangor
69,Freehold 3 Bedroom Lakefront Residence Condominium with 2 Car parks,RM 413 343,Apartment / Condominium,1568 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 17:45",Cyberjaya,Selangor
70,Sri Bayu Apartment,RM 192 000,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 17:30",Klang,Selangor
71,Low Cost Flat,RM 69 255,Apartment / Condominium,760 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 14, 15:30",Beranang,Selangor
72,Low Cost Flat,RM 69 255,Apartment / Condominium,760 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 14, 15:30",Beranang,Selangor
73,Kajang-Bukit Palma 2 (Palm Hill Residence 2),RM 307 800,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 12:50",Kajang,Selangor
74,Bangi-Savanna Executive Suites,RM 279 000,Apartment / Condominium,956 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 12:35",Bangi,Selangor
75,Kota Damansara-Gugusan Semarak,RM 116 700,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 14, 11:48",Kota Damansara,Selangor
76,Emporis Kota Damansara below market price,RM 467 500,Apartment / Condominium,807 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 21:05",Kota Damansara,Selangor
77,Oasis 1 kajang below market price,RM 324 000,Apartment / Condominium,1250 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 19:25",Kajang,Selangor
78,"BANK LELONG No.B-35-10, Astetica Residences, The Mines Resort City",RM 379 000,Apartment / Condominium,864 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 13, 19:10",Seri Kembangan,Selangor
79,Service Apartment in Isola,RM 1 350 000,Apartment / Condominium,2034 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 18:50",Subang Jaya,Selangor
80,Saville D'Lake Puchong Service Apartment [RizalProperties],RM 258 000,Apartment / Condominium,1130 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 18:05",Puchong,Selangor
81,Pangsapuri Seri Angsana,RM 117 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:30",Seri Kembangan,Selangor
82,Almyra Residence Bandar Puteri Bangi [RizalProperties],RM 240 000,Apartment / Condominium,947 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:28",Bangi,Selangor
83,Savanna Executive Suites Service Apartment Bangi [RizalProperties],RM 279 000,Apartment / Condominium,956 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:22",Bangi,Selangor
84,"Residensi Permai, Bandar Teknologi Kajang",RM 240 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:10",Kajang,Selangor
85,Almyra Residensi BANGI,RM 240 600,Apartment / Condominium,240600 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 13, 17:03",Bangi,Selangor
86,Residensi Rimbun (Canopy Hills),RM 182 300,Apartment / Condominium,452 sq.ft.,1 Bedroom,1 Bathroom,"Jun 12, 20:30",Kajang,Selangor
87,"Hillpark Residence Apartment, Semenyih",RM 295 700,Apartment / Condominium,1023 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 12, 20:15",Semenyih,Selangor
88,"Freehold Apartment in Lakefront Homes, Cyberjaya",RM 324 000,Apartment / Condominium,1010 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 12, 20:09",Sepang,Selangor
89,"BANK LELONG : No.2-03A-09, Perdana Emerald Condo @ Damansara Perdana",RM 522 000,Apartment / Condominium,1436 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 11, 14:46",Damansara Perdana,Selangor
90,"Bank Lelong BUMI LOT No.09-18, Simfoni 1, Anggerik Perdana, SEMENYIH",RM 238 000,Apartment / Condominium,1050 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 11, 13:10",Semenyih,Selangor
91,"BANK LELONG B-28-12, Zenopy Residences, Lestari Perdana, Putra Permai",RM 382 000,Apartment / Condominium,1128 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 11, 11:50",Seri Kembangan,Selangor
92,"BANK LELONG : No.B-22-09, Level 22, Block B, KANVAS Soho @ Cyberjaya",RM 212 000,Apartment / Condominium,452 sq.ft.,1 Bedroom,1 Bathroom,"Jun 11, 10:47",Cyberjaya,Selangor
93,"BANK LELONG : No.1-17-03A, The Domain @ NeoCyber, CYBERJAYA",RM 130 000,Apartment / Condominium,761 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 10, 16:35",Cyberjaya,Selangor
94,"Residensi Amani, Puchong",RM 420 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 21:30",389,Selangor
95,Kondominium Bandar Baru Klang,RM 274 500,Apartment / Condominium,1605 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 9, 21:20",Klang,Selangor
96,Perdana Service Apartment in Shah Alam,RM 175 000,Apartment / Condominium,850 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 21:10",Shah Alam,Selangor
97,Freehold Residensi Hijauan Condominium (The Greens),RM 414 000,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 21:06",Shah Alam,Selangor
98,SqWhere @Sungai Buloh,RM 522 884,Apartment / Condominium,1442 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 9, 21:01",Sungai Buloh,Selangor
99,Freehold Parkland Residence Service Apartment,RM 374 000,Apartment / Condominium,704 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 20:06",Cheras,Selangor
100,4 Bedroom Astoria Ampang Service Apartment,RM 972 000,Apartment / Condominium,1464 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 9, 19:44",Ampang,Selangor
101,Residensi Hijauan Condo (The Greens) - 7 min to the upcoming LRT3,RM 429 300,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 19:22",Shah Alam,Selangor
102,Shah Alam Seksyen 22 Alam Sanjung Apartment [RizalProperties],RM 259 200,Apartment / Condominium,861 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 8, 16:30",Shah Alam,Selangor
103,3 Bedroom D'Sara Sentral Service Apartment in Shah Alam,RM 720 000,Apartment / Condominium,1244 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 8, 11:50",Sungai Buloh,Selangor
104,"BANK LELONG No.E-23A-5, Koi Suites @ Taman Mas Langat, Puchong",RM 207 000,Apartment / Condominium,742 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 8, 08:26",Puchong,Selangor
105,Andari Town Villa Selayang Height 1101sf 3R2B,RM 255 200,Apartment / Condominium,1101 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 22:49",369,Selangor
106,3 Bedroom Sfera Residensi Service Apartment,RM 480 000,Apartment / Condominium,996 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 17:26",Seri Kembangan,Selangor
107,"BANK LELONG No.D1-05-10, Savanna @ Southville City, BANGI (by Mahsing)",RM 279 000,Apartment / Condominium,956 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 16:22",Bangi,Selangor
108,"Condominium Kristal Heights, Taman Sri Gombak, Batu Caves",RM 315 000,Apartment / Condominium,1001 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 15:49",Ampang,Selangor
109,Skylake Residence Serviced Apartment,RM 380 000,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 6, 12:45",Puchong,Selangor
110,Amerin Residence Service Apartment (One Amerin Residence),RM 275 000,Apartment / Condominium,857 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 6, 11:47",Kajang,Selangor
111,Fully Furnished Simfoni Heights Condominium (Symphony Heights),RM 285 000,Apartment / Condominium,861 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 6, 11:45",Batu Caves,Selangor
112,Tropicana Grande Condo - Stunning Penthouse - Private lift,RM 2 250 000,Apartment / Condominium,3670 sq.ft.,4 Bedrooms,5 Bathrooms,"Jun 6, 11:24",Petaling Jaya,Selangor
113,Puncak Alam Kondo Danau Perintis berhampiran UITM [RizalProperties],RM 272 000,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 5, 15:05",Puncak Alam,Selangor
114,"BANK LELONG No.3-4-7, Level 4, Blok 3, Gugusan Semarak, Kota Damansara",RM 116 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 4, 15:45",Kota Damansara,Selangor
115,Azure Residensi - Connected to Paradigm Mall by a pedestrian bridge,RM 612 000,Apartment / Condominium,1004 sq.ft.,1 Bedroom,2 Bathrooms,"Jun 2, 18:48",Petaling Jaya,Selangor
116,Danau Perintis Apartment - 5 min to Lotus's Puncak Alam,RM 272 000,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 2, 18:41",Puncak Alam,Selangor
117,"Condominium Ampang Damai,Bandar Baru Ampang",RM 288 000,Apartment / Condominium,1023 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 2, 12:15",Ampang,Selangor
118,Near Ampang LRT apartment for auction! 3bedroom,RM 129 600,Apartment / Condominium,657 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 19:41",Ampang,Selangor
119,Completed in 2021 Skylake Residence 2 parking - 3rd auction!,RM 299 700,Apartment / Condominium,883 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:47",Puchong,Selangor
120,"[ROI up to 9%] 3Bedroom Teratai Apartment, Rawang",RM 50 000,Apartment / Condominium,650 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:45",Rawang,Selangor
121,PJ apartment for 3rd auction!,RM 154 000,Apartment / Condominium,678 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:25",Damansara Damai,Selangor
122,Freehold 3 Bedroom Flat [5min to Econsave Kg Jawa],RM 80 000,Apartment / Condominium,657 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:21",Klang,Selangor
123,"3 Bedroom Apartment in Desa Lembah Permai, Ampang",RM 129 600,Apartment / Condominium,657 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 1, 16:15",Ampang,Selangor
124,"3 Bedroom Apartment in Taman Desa Serdang, Seri Kembangan",RM 120 000,Apartment / Condominium,826 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 16:10",Seri Kembangan,Selangor
